	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
16SC18233Y	0.14800000000000002	-0.134	-1.14	-1.99	-0.191	-1.317	0.0	-0.32	0.41700000000000004	0.748	-0.17800000000000002	-0.474	-1.288	-0.456	0.276	0.907	1.089	-0.7240000000000001	3.139	1.514	0.105	1.889	-0.8540000000000001	-29.359
16SC17388Y	0.222	-0.33399999999999996	-2.138	-2.6180000000000003	-0.573	-0.922	-0.266	-0.639	0.787	0.225	-0.08900000000000001	-0.948	-1.9040000000000001	-0.365	1.012	1.123	1.719	-0.7240000000000001	4.185	2.65	-0.42200000000000004	2.012	-1.21	-28.671999999999997
16SC18781Y	-0.07400000000000001	-0.46799999999999997	-1.568	-1.361	-0.764	-1.844	-0.16	-0.746	-0.324	0.075	-0.08900000000000001	0.237	-1.7919999999999998	-0.7759999999999999	0.138	0.821	0.9740000000000001	-0.483	6.626	0.757	0.42200000000000004	1.643	0.42700000000000005	-29.874000000000002
16SC16266Y	0.14800000000000002	-0.134	-0.713	-2.199	-1.051	-0.6579999999999999	-0.426	-1.598	-0.46299999999999997	-0.075	0.35700000000000004	0.11800000000000001	-2.128	-0.456	-0.184	0.302	1.8330000000000002	-0.7240000000000001	3.4	2.9019999999999997	-0.21100000000000002	1.6840000000000002	-1.7380000000000002	-3.4339999999999997
16SC10465Y	0.0	-0.602	-1.14	-1.571	-0.764	-1.712	-0.585	-0.9590000000000001	-0.23199999999999998	0.15	0.535	-1.0659999999999998	-1.176	-0.046	-0.023	0.302	0.802	-0.563	2.79	2.7760000000000002	0.053	1.314	-1.4240000000000002	-29.943
16SC16415Y	0.591	-0.067	-1.71	-2.932	-0.764	-1.58	0.213	-1.385	0.741	0.524	1.249	-0.5920000000000001	-3.0239999999999996	-0.639	0.966	1.815	1.891	-1.046	5.231	2.9019999999999997	-0.738	2.053	0.579	3.605
16SC19399Y	0.0	-0.267	-0.998	-1.78	-0.955	-0.922	-0.266	-0.586	-0.324	-0.374	0.35700000000000004	-0.5920000000000001	-1.344	-0.456	0.092	0.562	1.031	-0.322	3.051	2.082	-0.369	1.355	-0.797	-2.369
16SC13942Y	0.222	-0.535	-2.5660000000000003	-2.3040000000000003	-1.337	-2.041	-0.16	-0.9590000000000001	0.8340000000000001	0.374	-0.535	-0.711	-1.68	-0.639	0.552	1.339	1.203	-1.609	4.97	2.082	-0.21100000000000002	2.546	1.0859999999999999	5.185
16SC15189Y	0.44299999999999995	-0.33399999999999996	-0.855	-1.99	-1.051	-0.79	-0.37200000000000005	-0.5329999999999999	-0.23199999999999998	0.449	0.35700000000000004	0.355	-1.9040000000000001	-0.091	0.276	1.015	2.263	-0.885	5.841	3.155	0.105	1.848	-1.3030000000000002	-3.228
16SC16157Y	0.7390000000000001	-0.267	-1.568	-1.675	-0.86	-1.317	-0.266	-1.172	0.648	0.449	0.17800000000000002	-1.1840000000000002	-1.456	-1.004	0.23	1.167	0.8590000000000001	-0.966	2.616	1.767	-0.843	1.807	0.652	0.858
16SC15339Y	0.07400000000000001	-0.735	-1.71	-1.99	-0.669	-1.317	-0.213	-0.5329999999999999	-0.371	0.823	0.535	-0.237	-1.568	-0.183	-0.184	0.691	1.49	-0.7240000000000001	3.575	2.7760000000000002	-0.527	1.725	-0.997	-30.664
16SC18820Y	0.222	-0.33399999999999996	-0.713	-1.99	-1.051	-0.395	-0.319	-0.639	-0.23199999999999998	0.225	0.268	-0.415	-1.68	-0.091	0.23	0.691	1.26	-0.644	3.4	2.271	0.158	1.4369999999999998	-1.3530000000000002	-31.179000000000002
16SC16818Y	0.591	-0.735	-0.998	-2.199	-0.764	-1.449	-0.16	-0.9590000000000001	0.602	0.0	-0.35700000000000004	-0.711	-2.016	0.091	0.552	1.037	1.547	-0.402	3.7489999999999997	3.659	-0.316	2.3	-0.145	1.236
16SC16065Y	0.111	-0.802	-0.998	-1.99	-1.337	-1.712	-0.16	-1.0659999999999998	-0.509	0.075	0.17800000000000002	-0.237	-1.96	0.091	0.322	0.778	1.318	-0.805	4.97	3.659	0.158	1.889	-1.5930000000000002	-2.2319999999999998
16SC16121Y	0.222	-0.46799999999999997	-1.2830000000000001	-1.466	-1.051	-0.922	-0.638	-0.426	-0.278	0.225	0.35700000000000004	-0.5920000000000001	-1.736	-0.365	0.046	0.324	1.203	-1.127	3.051	2.019	-0.632	1.848	-1.4480000000000002	-1.786
16SC16158Y	0.517	-0.602	-0.57	-1.466	-0.955	-0.527	-0.479	-0.639	-0.602	-0.299	0.08900000000000001	-0.948	-0.784	-1.095	-0.43700000000000006	0.13	0.802	-1.449	0.9590000000000001	1.3880000000000001	-0.474	1.232	-1.5659999999999998	-30.664
16SC15388Y	0.07400000000000001	-0.602	-2.352	-1.885	-1.242	-2.1069999999999998	-0.426	-1.0659999999999998	0.509	-0.449	-0.8029999999999999	-1.1840000000000002	-0.8959999999999999	-0.091	0.552	0.972	1.776	-0.322	5.405	1.577	0.79	2.3	-0.57	-28.5
16SC15387Y	0.14800000000000002	-0.33399999999999996	-1.8530000000000002	-2.094	-1.146	-2.1069999999999998	-0.426	-0.746	0.602	0.449	0.35700000000000004	-0.355	-1.12	-0.456	0.552	0.821	1.661	-1.207	4.621	2.7760000000000002	0.42200000000000004	2.094	-1.3530000000000002	-28.775
16SC13307Y	-0.369	-0.802	-2.9930000000000003	-1.6230000000000002	-1.337	-3.029	-0.106	-1.2790000000000001	0.139	-0.748	-0.892	-2.0140000000000002	-1.7919999999999998	-1.278	-0.23	0.43200000000000005	0.22899999999999998	-1.127	1.308	0.0	0.685	1.068	2.6069999999999998	6.662000000000001
16SC15128Y	-0.07400000000000001	-0.33399999999999996	-1.9240000000000002	-2.513	-0.478	-1.712	-0.16	-0.5329999999999999	-0.185	0.15	-0.08900000000000001	0.0	-1.12	-0.73	0.276	0.648	1.518	-0.885	4.882	2.65	-0.316	1.6019999999999999	-0.997	-30.046
16SC08917Y	0.14800000000000002	-0.401	-0.998	-2.3040000000000003	-0.86	-1.054	-0.479	-0.746	-0.324	-0.15	0.35700000000000004	0.0	-1.232	-0.821	0.23	0.8640000000000001	1.146	-0.563	3.4	2.65	-0.369	1.643	-1.78	-30.32
16SC19345Y	0.295	-0.401	-1.995	-2.827	-1.433	-2.37	-0.106	-0.213	0.648	0.225	0.08900000000000001	-1.0659999999999998	-3.9210000000000003	0.091	0.46	2.2030000000000003	2.12	-0.805	8.195	2.082	0.316	2.8339999999999996	0.145	6.215
16SC18811Y	0.14800000000000002	-0.401	-1.4969999999999999	-1.885	-1.337	-1.054	0.106	-0.426	0.23199999999999998	0.225	0.268	-0.5920000000000001	-1.5119999999999998	-0.365	0.253	0.691	1.375	-0.845	3.139	1.767	-0.369	1.889	-1.709	-29.565
